call_number,file,line,call_type,hint_from_scanner,verdict,evidence_lines_read,evidence_quote,verified_at,verified_by
077,./server/src/services/integrations/patValidationService.ts,1680,axios.get,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:1678-1706,"const response = await axios.get('https://api.hubapi.com/contacts/v1/lists/all/contacts/all'; { ... });",2026-05-25T00:00:00Z,F7_chunk_04
078,./server/src/services/integrations/patValidationService.ts,1723,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/patValidationService.ts:1711-1748,"this.validateBaseUrl(baseUrl); ... const zendeskUrl = baseUrl.includes('.') ? baseUrl : `https://${baseUrl}.zendesk.com`; const response = await axios.get(`${zendeskUrl}/api/v2/users/me.json`; ...);",2026-05-25T00:00:00Z,F7_chunk_04
079,./server/src/services/integrations/patValidationService.ts,1770,axios.post,VALIDATED,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/patValidationService.ts:1753-1800,"this.validateBaseUrl(baseUrl); ... const apiUrl = isSandbox ? 'https://api.sandbox.paypal.com/v1/oauth2/token' : 'https://api.paypal.com/v1/oauth2/token'; const oauthResponse = await axios.post(apiUrl; ...);",2026-05-25T00:00:00Z,F7_chunk_04
080,./server/src/services/integrations/providers/baseIntegration.ts,130,axios.create,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/providers/baseIntegration.ts:120-150,"constructor() { this.httpClient = axios.create({ timeout: 30000; headers: { 'Accept': 'application/json'; 'Content-Type': 'application/json'; }; }); }  -- no URL/baseURL is set; instance only.",2026-05-25T00:00:00Z,F7_chunk_04
081,./server/src/services/integrations/servicenowService.ts,181,axios.create,CONFIG_URL_LIKELY_SAFE,GAP_MEDIUM_DYNAMIC_NO_VALIDATION,server/src/services/integrations/servicenowService.ts:153-200,"const config = integration.config as unknown as ServiceNowConfig; ... const instanceUrl = config.instanceUrl.replace(/\/+$/; ''); ... return axios.create({ baseURL: `${instanceUrl}/api/now`; headers; timeout: 30000 }); -- no isUrlSafe call on DB-supplied instanceUrl.",2026-05-25T00:00:00Z,F7_chunk_04
082,./server/src/services/integrations/servicenowService.ts,217,axios.post,CONFIG_URL_LIKELY_SAFE,GAP_MEDIUM_DYNAMIC_NO_VALIDATION,server/src/services/integrations/servicenowService.ts:209-230,"const instanceUrl = config.instanceUrl.replace(/\/+$/; ''); ... const response = await axios.post<ServiceNowOAuthTokenResponse>(`${instanceUrl}/oauth_token.do`; ...); -- no isUrlSafe call on DB-supplied instanceUrl.",2026-05-25T00:00:00Z,F7_chunk_04
083,./server/src/services/integrations/slackService.ts,75,axios.post,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/slackService.ts:42-90,"private readonly authBaseUrl = 'https://slack.com/oauth/v2'; ... const response = await axios.post(`${this.authBaseUrl}/access`; null; {...});",2026-05-25T00:00:00Z,F7_chunk_04
084,./server/src/services/integrations/slackService.ts,106,axios.get,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/slackService.ts:42-115,"private readonly apiBaseUrl = 'https://slack.com/api'; ... const response = await axios.get(`${this.apiBaseUrl}/users.identity`; {...});",2026-05-25T00:00:00Z,F7_chunk_04
085,./server/src/services/integrations/slackService.ts,208,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/integrations/slackService.ts:202-225,"const url = `${this.apiBaseUrl}/${endpoint}`; if (!isUrlSafe(url)) { throw new AppError('Blocked unsafe outbound URL'; 400); } ... const response = await axios.get(url; {...});",2026-05-25T00:00:00Z,F7_chunk_04
086,./server/src/services/integrations/slackService.ts,358,axios.post,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/slackService.ts:42-388,"private readonly apiBaseUrl = 'https://slack.com/api'; ... const response = await axios.post(`${this.apiBaseUrl}/chat.postMessage`; { channel: channelId; ... });",2026-05-25T00:00:00Z,F7_chunk_04
087,./server/src/services/integrations/slackService.ts,501,axios.post,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/slackService.ts:42-512,"private readonly apiBaseUrl = 'https://slack.com/api'; ... await axios.post(`${this.apiBaseUrl}/auth.revoke`; null; { headers: { Authorization: `Bearer ${integration.accessToken}`; }; });",2026-05-25T00:00:00Z,F7_chunk_04
088,./server/src/services/integrations/slackService.ts,624,axios.post,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/slackService.ts:42-640,"private readonly apiBaseUrl = 'https://slack.com/api'; ... const response = await axios.post(`${this.apiBaseUrl}/chat.postMessage`; { channel: alertChannel; ... });",2026-05-25T00:00:00Z,F7_chunk_04
089,./server/src/services/integrations/slackService.ts,745,axios.post,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/slackService.ts:42-760,"private readonly apiBaseUrl = 'https://slack.com/api'; ... await axios.post(`${this.apiBaseUrl}/chat.postMessage`; { channel; text: `Compliance Digest - ${digest.period}: Score ${digest.overallScore}%`; ... });",2026-05-25T00:00:00Z,F7_chunk_04
090,./server/src/services/monitoringService.ts,817,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/monitoringService.ts:807-825,"if (config.endpoint && isWebhookUrlSafe(config.endpoint)) { try { const response = await axios.get(config.endpoint; { headers: config.headers || {}; timeout: 30000; }); ...",2026-05-25T00:00:00Z,F7_chunk_04
091,./server/src/services/monitoringService.ts,965,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/monitoringService.ts:961-972,"if (config.endpoint && isWebhookUrlSafe(config.endpoint)) { try { const response = await axios.get(config.endpoint; { headers: config.headers || {}; timeout: 30000 }); ...",2026-05-25T00:00:00Z,F7_chunk_04
092,./server/src/services/monitoringService.ts,992,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/monitoringService.ts:985-1002,"if (config.endpoint && isWebhookUrlSafe(config.endpoint)) { try { const response = await axios.get(config.endpoint; { headers: config.headers || {}; timeout: 30000 }); ...",2026-05-25T00:00:00Z,F7_chunk_04
093,./server/src/services/monitoringService.ts,1028,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/monitoringService.ts:1021-1040,"if (config.endpoint && isWebhookUrlSafe(config.endpoint)) { try { const response = await axios.get(config.endpoint; { headers: config.headers || {}; timeout: 30000 }); ...",2026-05-25T00:00:00Z,F7_chunk_04
094,./server/src/services/monitoringService.ts,1118,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/monitoringService.ts:1115-1128,"// Custom code scanning endpoint -- if (config.endpoint && isWebhookUrlSafe(config.endpoint)) { try { const response = await axios.get(config.endpoint; { headers: config.headers || {}; timeout: 30000 }); ...",2026-05-25T00:00:00Z,F7_chunk_04
095,./server/src/services/s3Service.ts,343,axios.post,ENV_URL_SAFE,SAFE_ENV_NO_OVERRIDE,server/src/services/s3Service.ts:336-355,"} else if (scanMethod === 'clamav' && process.env.CLAMAV_HOST) { ... const response = await axios.post(`${process.env.CLAMAV_HOST}/scan`; form; { headers: form.getHeaders() }); -- URL is process.env only; no function-parameter override path.",2026-05-25T00:00:00Z,F7_chunk_04
096,./server/src/services/workflowEngine.ts,530,axios(config),CONFIG_URL_LIKELY_SAFE,SAFE_VALIDATED,server/src/services/workflowEngine.ts:502-548,"const url = (config.url as string) || ''; ... if (!isWebhookUrlSafe(url)) { logger.warn('Webhook URL blocked by SSRF protection'; { url: url.substring(0; 200) }); return { ... }; } const response = await axios({ method: method as 'GET'|'POST'|'PUT'|'PATCH'; url; ... });",2026-05-25T00:00:00Z,F7_chunk_04
097,./server/src/utils/urlValidator.ts,113,fetch,VALIDATED,SAFE_VALIDATED,server/src/utils/urlValidator.ts:108-138,"export async function safeFetch(url: string; options?: RequestInit): Promise<Response> { if (!isUrlSafe(url)) { throw new AppError('URL is not allowed for security reasons (SSRF protection)'; 400); } const response = await fetch(url; { ...options; redirect: 'manual'; });",2026-05-25T00:00:00Z,F7_chunk_04
